id,image1,image2,image3,trial,triplet_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_images/n04536866_6609.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n03944341_9359.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n03642806_15958.JPEG,0,between_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_images/n02097047_1235.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n03814639_1611.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n02097047_2425.JPEG,1,class_boundary
participant_0,stimuli/imagenet2012_human_eval_v2.1_images/n07714990_3290.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n07714990_3658.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n07714990_4140.JPEG,2,within_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_images/n06874185_9914.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n03026506_1368.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n03388549_260.JPEG,3,between_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_images/n02165456_16377.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n02606052_10802.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n02165456_5807.JPEG,4,class_boundary
participant_0,stimuli/imagenet2012_human_eval_v2.1_images/n04350905_4311.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n01629819_3321.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n03602883_13584.JPEG,5,between_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_images/n13052670_6574.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n04252077_7930.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n01871265_353.JPEG,6,between_class
participant_0,stimuli/imagenet2012_human_eval_v2.1_images/n02988304_3035.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n02988304_9029.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n04228054_12480.JPEG,7,class_boundary
participant_0,stimuli/imagenet2012_human_eval_v2.1_images/n04235860_10166.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n04235860_5373.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n04560804_5459.JPEG,8,class_boundary
participant_0,stimuli/imagenet2012_human_eval_v2.1_images/n03803284_1672.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n04009552_11794.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n04009552_9949.JPEG,9,class_boundary
