id,image1,image2,image3,trial,triplet_class
participant_50,stimuli/imagenet2012_human_eval_v2.1_images/n02749479_4430.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n03032252_64292.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n02229544_1106.JPEG,0,between_class
participant_50,stimuli/imagenet2012_human_eval_v2.1_images/n02231487_244.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n04228054_145.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n02231487_2407.JPEG,1,class_boundary
participant_50,stimuli/imagenet2012_human_eval_v2.1_images/n03874599_8376.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n03874599_4094.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n03874599_4970.JPEG,2,within_class
participant_50,stimuli/imagenet2012_human_eval_v2.1_images/n04275548_8865.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n04275548_4532.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n04275548_1370.JPEG,3,within_class
participant_50,stimuli/imagenet2012_human_eval_v2.1_images/n02138441_8902.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n02138441_6527.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n02138441_4835.JPEG,4,within_class
participant_50,stimuli/imagenet2012_human_eval_v2.1_images/n02233338_5273.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n02233338_1268.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n03785016_4989.JPEG,5,class_boundary
participant_50,stimuli/imagenet2012_human_eval_v2.1_images/n03785016_1583.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n02978881_8228.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n02172182_9856.JPEG,6,between_class
participant_50,stimuli/imagenet2012_human_eval_v2.1_images/n02443114_21331.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n07730033_776.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n02916936_5509.JPEG,7,between_class
participant_50,stimuli/imagenet2012_human_eval_v2.1_images/n09835506_8390.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n03133878_3371.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n04152593_3500.JPEG,8,between_class
participant_50,stimuli/imagenet2012_human_eval_v2.1_images/n03450230_6251.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n01592084_4057.JPEG,stimuli/imagenet2012_human_eval_v2.1_images/n04277352_12917.JPEG,9,between_class
